Gene	GeneName	Chromosome	TSS	Strand	DistanceTSStoORF
YGR122W	YGR122W	chr7	757270	+	143
PPT1	YGR123C	chr7	761712	-	31
ASN2	YGR124W	chr7	763385	+	37
YGR125W	YGR125W	chr7	765597	+	196
YGR126W	YGR126W	chr7	769190	+	113
YGR127W	YGR127W	chr7	770211	+	40
UTP8	YGR128C	chr7	773582	-	38
SYF2	YGR129W	chr7	773818	+	35
YGR130C	YGR130C	chr7	777400	-	103
FHN1	YGR131W	chr7	778105	+	74
PHB1	YGR132C	chr7	779947	-	42
PEX4	YGR133W	chr7	780379	+	-30
CAF130	YGR134W	chr7	781071	+	152
PRE9	YGR135W	chr7	784792	+	53
LSB1	YGR136W	chr7	785864	+	17
CBF2	YGR140W	chr7	790943	+	-61
VPS62	YGR141W	chr7	794002	+	20
BTN2	YGR142W	chr7	795842	+	65
SKN1	YGR143W	chr7	798391	+	255
THI4	YGR144W	chr7	804157	+	-305
ENP2	YGR145W	chr7	805165	+	55
ECL1	YGR146C	chr7	808608	-	297
NAT2	YGR147C	chr7	810436	-	63
RPL24B	YGR148C	chr7	811653	-	421
GPC1	YGR149W	chr7	812431	+	53
CCM1	YGR150C	chr7	816547	-	41
RSR1	YGR152C	chr7	819058	-	113
YGR153W	YGR153W	chr7	819540	+	5
GTO1	YGR154C	chr7	821351	-	30
CYS4	YGR155W	chr7	821942	+	54
PTI1	YGR156W	chr7	823865	+	134
CHO2	YGR157W	chr7	825770	+	123
MTR3	YGR158C	chr7	829538	-	64
NSR1	YGR159C	chr7	831153	-	44
RTS3	YGR161C	chr7	832946	-	82
YGR161W-C	YGR161W-C	chr7	833628	+	43
TIF4631	YGR162W	chr7	850316	+	36
GTR2	YGR163W	chr7	853788	+	57
MRPS35	YGR165W	chr7	855355	+	54
TRS65	YGR166W	chr7	856728	+	80
CLC1	YGR167W	chr7	858685	+	64
PEX35	YGR168C	chr7	860816	-	41
PUS6	YGR169C	chr7	862222	-	26
LSO2	YGR169C-A	chr7	863057	-	99
PSD2	YGR170W	chr7	863379	+	56
MSM1	YGR171C	chr7	868867	-	23
YIP1	YGR172C	chr7	869921	-	37
RBG2	YGR173W	chr7	870103	+	44
CBP4	YGR174C	chr7	872669	-	-29
ERG1	YGR175C	chr7	874806	-	90
ATF2	YGR177C	chr7	876773	-	55
PBP1	YGR178C	chr7	879710	-	213
OKP1	YGR179C	chr7	881204	-	27
RNR4	YGR180C	chr7	882610	-	27
TIM13	YGR181W	chr7	884549	+	20
QCR9	YGR183C	chr7	885828	-	70
UBR1	YGR184C	chr7	892409	-	374
TYS1	YGR185C	chr7	893834	-	32
TFG1	YGR186W	chr7	894028	+	28
HGH1	YGR187C	chr7	897754	-	56
BUB1	YGR188C	chr7	901430	-	39
CRH1	YGR189C	chr7	904552	-	78
HIP1	YGR191W	chr7	906501	+	201
TDH3	YGR192C	chr7	910131	-	39
PDX1	YGR193C	chr7	912112	-	89
XKS1	YGR194C	chr7	914128	-	-29
SKI6	YGR195W	chr7	915058	+	106
FYV8	YGR196C	chr7	918508	-	40
SNG1	YGR197C	chr7	920628	-	206
YPP1	YGR198W	chr7	920934	+	41
PMT6	YGR199W	chr7	923743	+	41
ELP2	YGR200C	chr7	928611	-	59
YGR201C	YGR201C	chr7	929501	-	22
PCT1	YGR202C	chr7	931044	-	14
YCH1	YGR203W	chr7	931508	+	11
ADE3	YGR204W	chr7	932185	+	31
TDA10	YGR205W	chr7	935369	+	126
MVB12	YGR206W	chr7	936676	+	24
CIR1	YGR207C	chr7	937926	-	30
SER2	YGR208W	chr7	938096	+	55
TRX2	YGR209C	chr7	939548	-	53
YGR210C	YGR210C	chr7	941116	-	110
ZPR1	YGR211W	chr7	941450	+	59
RPS0A	YGR214W	chr7	946822	+	21
RSM27	YGR215W	chr7	948395	+	48
GPI1	YGR216C	chr7	950777	-	47
CCH1	YGR217W	chr7	950913	+	51
CRM1	YGR218W	chr7	958510	+	299
MRPL9	YGR220C	chr7	963161	-	10
TOS2	YGR221C	chr7	965347	-	87
PET54	YGR222W	chr7	966187	+	4
HSV2	YGR223C	chr7	968542	-	59
DIE2	YGR227W	chr7	973609	+	79
SMI1	YGR229C	chr7	977443	-	276
BNS1	YGR230W	chr7	978252	+	-90
PHB2	YGR231C	chr7	979801	-	53
NAS6	YGR232W	chr7	980206	+	22
PHO81	YGR233C	chr7	984702	-	224
YHB1	YGR234W	chr7	986152	+	20
MIC26	YGR235C	chr7	988400	-	71
SPG1	YGR236C	chr7	989139	-	54
YGR237C	YGR237C	chr7	991993	-	70
KEL2	YGR238C	chr7	994980	-	25
PEX21	YGR239C	chr7	996355	-	34
PFK1	YGR240C	chr7	1000235	-	233
YAP1802	YGR241C	chr7	1002989	-	140
MPC3	YGR243W	chr7	1003509	+	95
LSC2	YGR244C	chr7	1005685	-	98
SDA1	YGR245C	chr7	1008423	-	87
BRF1	YGR246C	chr7	1010569	-	29
CPD1	YGR247W	chr7	1011095	+	139
SOL4	YGR248W	chr7	1012194	+	34
RIE1	YGR250C	chr7	1019978	-	201
NOP19	YGR251W	chr7	1021867	+	28
GCN5	YGR252W	chr7	1023077	+	48
PUP2	YGR253C	chr7	1025456	-	60
ENO1	YGR254W	chr7	1027146	+	37
COQ6	YGR255C	chr7	1030291	-	73
GND2	YGR256W	chr7	1030829	+	51
MTM1	YGR257C	chr7	1033665	-	104
RAD2	YGR258C	chr7	1037050	-	28
TNA1	YGR260W	chr7	1038535	+	198
APL6	YGR261C	chr7	1043039	-	41
BUD32	YGR262C	chr7	1044036	-	29
SAY1	YGR263C	chr7	1045497	-	8
MES1	YGR264C	chr7	1048118	-	17
YGR266W	YGR266W	chr7	1048840	+	64
FOL2	YGR267C	chr7	1052142	-	159
HUA1	YGR268C	chr7	1052944	-	43
YTA7	YGR270W	chr7	1053502	+	116
SLH1	YGR271W	chr7	1058018	+	21
EFG1	YGR271C-A	chr7	1064758	-	9
TAF1	YGR274C	chr7	1069359	-	16
RTT102	YGR275W	chr7	1069510	+	14
RNH70	YGR276C	chr7	1071753	-	25
CAB4	YGR277C	chr7	1072814	-	5
CWC22	YGR278W	chr7	1072969	+	10
SCW4	YGR279C	chr7	1076296	-	95
PXR1	YGR280C	chr7	1077996	-	28
YOR1	YGR281W	chr7	1078885	+	179
BGL2	YGR282C	chr7	1085001	-	37
YGR283C	YGR283C	chr7	1086321	-	41
ERV29	YGR284C	chr7	1087856	-	26
ZUO1	YGR285C	chr7	1089406	-	13
BIO2	YGR286C	chr7	1091236	-	56
IMA1	YGR287C	chr7	1095304	-	73
MAL13	YGR288W	chr7	1096463	+	70
MAL11	YGR289C	chr7	1102080	-	27
MAL12	YGR292W	chr7	1102803	+	36
YHL044W	YHL044W	chr8	10452	+	17
ECM34	YHL043W	chr8	11785	+	20
ARN1	YHL040C	chr8	17899	-	32
EFM1	YHL039W	chr8	18627	+	52
CBP2	YHL038C	chr8	22440	-	35
MUP3	YHL036W	chr8	23107	+	30
VMR1	YHL035C	chr8	29670	-	18
SBP1	YHL034C	chr8	31084	-	111
RPL8A	YHL033C	chr8	32941	-	20
GUT1	YHL032C	chr8	35483	-	79
GOS1	YHL031C	chr8	36393	-	11
ECM29	YHL030W	chr8	36942	+	38
OCA5	YHL029C	chr8	44899	-	35
WSC4	YHL028W	chr8	45590	+	69
RIM101	YHL027W	chr8	47909	+	98
YHL026C	YHL026C	chr8	51127	-	65
SNF6	YHL025W	chr8	51689	+	58
RIM4	YHL024W	chr8	53389	+	156
NPR3	YHL023C	chr8	59487	-	32
AIM17	YHL021C	chr8	62811	-	60
OPI1	YHL020C	chr8	64432	-	84
APM2	YHL019C	chr8	66474	-	34
MCO14	YHL018W	chr8	66586	+	14
YHL017W	YHL017W	chr8	67146	+	22
DUR3	YHL016C	chr8	71174	-	38
RPS20	YHL015W	chr8	72275	+	30
YLF2	YHL014C	chr8	74189	-	-12
OTU2	YHL013C	chr8	75254	-	14
PRS3	YHL011C	chr8	78606	-	100
ETP1	YHL010C	chr8	80653	-	53
YAP3	YHL009C	chr8	82063	-	124
STE20	YHL007C	chr8	88970	-	137
SHU1	YHL006C	chr8	89755	-	63
MRP4	YHL004W	chr8	90036	+	80
LAG1	YHL003C	chr8	92914	-	134
HSE1	YHL002W	chr8	93490	+	19
RPL14B	YHL001W	chr8	95146	+	28
OSH7	YHR001W	chr8	96929	+	23
QCR10	YHR001W-A	chr8	98668	+	55
LEU5	YHR002W	chr8	99584	+	126
TCD1	YHR003C	chr8	102221	-	6
NEM1	YHR004C	chr8	104063	-	81
GPA1	YHR005C	chr8	105900	-	95
TIM10	YHR005C-A	chr8	106832	-	45
STP2	YHR006W	chr8	108340	+	24
ERG11	YHR007C	chr8	112379	-	146
SOD2	YHR008C	chr8	114183	-	42
TDA3	YHR009C	chr8	116480	-	251
RPL27A	YHR010W	chr8	117036	+	32
DIA4	YHR011W	chr8	118313	+	16
VPS29	YHR012W	chr8	120009	+	21
ARD1	YHR013C	chr8	122028	-	33
YSC84	YHR016C	chr8	135001	-	35
YSC83	YHR017W	chr8	135183	+	22
ARG4	YHR018C	chr8	137968	-	55
DED81	YHR019C	chr8	140111	-	42
YHR020W	YHR020W	chr8	140388	+	120
RPS27B	YHR021C	chr8	145234	-	41
MYO1	YHR023W	chr8	148133	+	54
MAS2	YHR024C	chr8	155736	-	23
THR1	YHR025W	chr8	155929	+	30
VMA16	YHR026W	chr8	157218	+	147
RPN1	YHR027C	chr8	161268	-	36
DAP2	YHR028C	chr8	163980	-	25
YHI9	YHR029C	chr8	165095	-	13
SLT2	YHR030C	chr8	167042	-	177
RRM3	YHR031C	chr8	169532	-	41
ERC1	YHR032W	chr8	169769	+	96
YHR033W	YHR033W	chr8	172044	+	25
PIH1	YHR034C	chr8	174554	-	34
NEL1	YHR035W	chr8	174707	+	33
BRL1	YHR036W	chr8	176753	+	113
PUT2	YHR037W	chr8	178442	+	56
RRF1	YHR038W	chr8	180550	+	37
MSC7	YHR039C	chr8	183324	-	-6
VMA10	YHR039C-A	chr8	184205	-	17
BCD1	YHR040W	chr8	184417	+	16
NCP1	YHR042W	chr8	187008	+	44
DOG2	YHR043C	chr8	190156	-	102
DOG1	YHR044C	chr8	191357	-	40
YHR045W	YHR045W	chr8	191919	+	141
INM1	YHR046C	chr8	194859	-	65
AAP1	YHR047C	chr8	197847	-	28
FSH1	YHR049W	chr8	202929	+	42
SMF2	YHR050W	chr8	203969	+	194
COX6	YHR051W	chr8	206137	+	77
CIC1	YHR052W	chr8	207319	+	38
RSC30	YHR056C	chr8	218353	-	49
CPR2	YHR057C	chr8	219327	-	14
MED6	YHR058C	chr8	220367	-	13
FYV4	YHR059W	chr8	220526	+	52
VMA22	YHR060W	chr8	221206	+	-11
GIC1	YHR061C	chr8	223145	-	197
RPP1	YHR062C	chr8	224233	-	4
PAN5	YHR063C	chr8	225670	-	30
SSZ1	YHR064C	chr8	227654	-	42
RRP3	YHR065C	chr8	229546	-	38
SSF1	YHR066W	chr8	229764	+	32
HTD2	YHR067W	chr8	231398	+	33
DYS1	YHR068W	chr8	232538	+	56
RRP4	YHR069C	chr8	235131	-	14
TRM5	YHR070W	chr8	235322	+	18
PCL5	YHR071W	chr8	237101	+	343
ERG7	YHR072W	chr8	239466	+	66
NOP10	YHR072W-A	chr8	242036	+	62
OSH3	YHR073W	chr8	242986	+	30
QNS1	YHR074W	chr8	246598	+	29
PPE1	YHR075C	chr8	250129	-	54
PTC7	YHR076W	chr8	251508	+	27
NMD2	YHR077C	chr8	256258	-	68
YHR078W	YHR078W	chr8	256766	+	28
IRE1	YHR079C	chr8	262278	-	253
LAM4	YHR080C	chr8	267474	-	202
LRP1	YHR081W	chr8	267944	+	28
SAM35	YHR083W	chr8	273054	+	7
STE12	YHR084W	chr8	274303	+	305
IPI1	YHR085W	chr8	277177	+	21
NAM8	YHR086W	chr8	278362	+	225
RTC3	YHR087W	chr8	281180	+	75
RPF1	YHR088W	chr8	281903	+	27
GAR1	YHR089C	chr8	283764	-	32
YNG2	YHR090C	chr8	285068	-	8
MSR1	YHR091C	chr8	287231	-	27
HXT4	YHR092C	chr8	289320	-	75
HXT1	YHR094C	chr8	293061	-	41
HXT5	YHR096C	chr8	296985	-	159
YHR097C	YHR097C	chr8	299016	-	27
SFB3	YHR098C	chr8	302389	-	75
TRA1	YHR099W	chr8	303046	+	95
GEP4	YHR100C	chr8	315099	-	46
BIG1	YHR101C	chr8	316380	-	32
KIC1	YHR102W	chr8	316768	+	184
SBE22	YHR103W	chr8	320540	+	254
GRE3	YHR104W	chr8	323738	+	51
YPT35	YHR105W	chr8	325052	+	94
TRR2	YHR106W	chr8	325977	+	1
CDC12	YHR107C	chr8	328479	-	63
GGA2	YHR108W	chr8	328652	+	31
CTM1	YHR109W	chr8	330665	+	25
ERP5	YHR110W	chr8	332633	+	29
UBA4	YHR111W	chr8	333448	+	4
YHR112C	YHR112C	chr8	336075	-	32
APE4	YHR113W	chr8	336730	+	-17
BZZ1	YHR114W	chr8	338395	+	64
DMA1	YHR115C	chr8	341870	-	135
COX23	YHR116W	chr8	342095	+	-54
TOM71	YHR117W	chr8	342693	+	32
ORC6	YHR118C	chr8	346020	-	16
SET1	YHR119W	chr8	346184	+	235
LSM12	YHR121W	chr8	353065	+	67
CIA2	YHR122W	chr8	353942	+	59
EPT1	YHR123W	chr8	355176	+	15
ANS1	YHR126C	chr8	360609	-	52
YHR127W	YHR127W	chr8	361262	+	27
FUR1	YHR128W	chr8	362448	+	43
ARP1	YHR129C	chr8	364612	-	83
YHR131C	YHR131C	chr8	368336	-	68
ECM14	YHR132C	chr8	370212	-	42
IGO2	YHR132W-A	chr8	370385	+	45
NSG1	YHR133C	chr8	372007	-	34
WSS1	YHR134W	chr8	372151	+	-26
YCK1	YHR135C	chr8	374806	-	120
ARO9	YHR137W	chr8	376055	+	30
YHR138C	YHR138C	chr8	378094	-	19
SPS100	YHR139C	chr8	379586	-	11
YHR140W	YHR140W	chr8	380937	+	11
RPL42B	YHR141C	chr8	383170	-	43
CHS7	YHR142W	chr8	383791	+	123
DSE2	YHR143W	chr8	385627	+	259
RPC10	YHR143W-A	chr8	387570	+	30
DCD1	YHR144C	chr8	389125	-	32
CRP1	YHR146W	chr8	390643	+	24
MRPL6	YHR147C	chr8	393682	-	32
IMP3	YHR148W	chr8	393881	+	20
SKG6	YHR149C	chr8	397172	-	146
PEX28	YHR150W	chr8	397547	+	62
MTC6	YHR151C	chr8	401374	-	168
SPO12	YHR152W	chr8	401698	+	94
RTT107	YHR154W	chr8	403272	+	52
LAM1	YHR155W	chr8	407364	+	97
LIN1	YHR156C	chr8	412805	-	41
KEL1	YHR158C	chr8	417670	-	133
TDA11	YHR159W	chr8	417832	+	75
PEX18	YHR160C	chr8	420451	-	21
YAP1801	YHR161C	chr8	422782	-	138
MPC2	YHR162W	chr8	423250	+	180
SOL3	YHR163W	chr8	424074	+	8
DNA2	YHR164C	chr8	429628	-	92
PRP8	YHR165C	chr8	437415	-	109
CDC23	YHR166C	chr8	439473	-	65
THP2	YHR167W	chr8	439648	+	52
MTG2	YHR168W	chr8	440701	+	34
DBP8	YHR169W	chr8	442499	+	40
NMD3	YHR170W	chr8	444138	+	48
ATG7	YHR171W	chr8	446058	+	13
SPC97	YHR172W	chr8	448611	+	82
ENO2	YHR174W	chr8	451655	+	30
CTR2	YHR175W	chr8	453275	+	-45
FMO1	YHR176W	chr8	454551	+	36
ROF1	YHR177W	chr8	456871	+	78
STB5	YHR178W	chr8	459611	+	46
OYE2	YHR179W	chr8	462819	+	41
YHR180W	YHR180W	chr8	465381	+	155
SVP26	YHR181W	chr8	467528	+	52
YHR182W	YHR182W	chr8	468536	+	35
GND1	YHR183W	chr8	471235	+	77
KOG1	YHR186C	chr8	481060	-	38
IKI1	YHR187W	chr8	481305	+	35
GPI16	YHR188C	chr8	484230	-	43
PTH1	YHR189W	chr8	484357	+	21
ERG9	YHR190W	chr8	485146	+	49
CTF8	YHR191C	chr8	486996	-	15
LNP1	YHR192W	chr8	487141	+	35
EGD2	YHR193C	chr8	488618	-	32
MDM31	YHR194W	chr8	488959	+	48
NVJ1	YHR195W	chr8	490923	+	174
UTP9	YHR196W	chr8	492227	+	54
RIX1	YHR197W	chr8	494225	+	21
AIM18	YHR198C	chr8	497614	-	-16
AIM46	YHR199C	chr8	498786	-	14
NBL1	YHR199C-A	chr8	499229	-	20
RPN10	YHR200W	chr8	499414	+	15
PPX1	YHR201C	chr8	501507	-	14
YHR202W	YHR202W	chr8	502706	+	32
RPS4B	YHR203C	chr8	505919	-	39
MNL1	YHR204W	chr8	506622	+	47
SCH9	YHR205W	chr8	509260	+	436
SKN7	YHR206W	chr8	512766	+	292
SET5	YHR207C	chr8	516849	-	40
BAT1	YHR208W	chr8	517835	+	21
CRG1	YHR209W	chr8	519742	+	19
YHR214W	YHR214W	chr8	541860	+	107
SOA1	YIL166C	chr9	27273	-	407
NIT1	YIL164C	chr9	29016	-	30
SUC2	YIL162W	chr9	31646	+	39
YIL161W	YIL161W	chr9	33724	+	10
POT1	YIL160C	chr9	35768	-	23
BNR1	YIL159W	chr9	36085	+	41
AIM20	YIL158W	chr9	40491	+	11
COA1	YIL157C	chr9	41852	-	9
UBP7	YIL156W	chr9	42401	+	-9
GUT2	YIL155C	chr9	48053	-	44
IMP2'	YIL154C	chr9	49347	-	25
RRD1	YIL153W	chr9	49466	+	33
YIL152W	YIL152W	chr9	50869	+	-23
ESL1	YIL151C	chr9	55129	-	140
MCM10	YIL150C	chr9	57044	-	21
MLP2	YIL149C	chr9	62504	-	142
RPL40A	YIL148W	chr9	62965	+	38
SLN1	YIL147C	chr9	67951	-	203
ATG32	YIL146C	chr9	70038	-	-30
PAN6	YIL145C	chr9	71631	-	57
NDC80	YIL144W	chr9	72275	+	90
SSL2	YIL143C	chr9	77366	-	34
CCT2	YIL142W	chr9	77556	+	37
AXL2	YIL140W	chr9	79547	+	110
REV7	YIL139C	chr9	82986	-	-22
TPM2	YIL138C	chr9	84036	-	30
TMA108	YIL137C	chr9	87129	-	49
OM45	YIL136W	chr9	87877	+	34
VHS2	YIL135C	chr9	90725	-	58
FLX1	YIL134W	chr9	91625	+	61
RPL16A	YIL133C	chr9	93725	-	18
CSM2	YIL132C	chr9	94803	-	11
FKH1	YIL131C	chr9	96599	-	75
ASG1	YIL130W	chr9	96930	+	136
TAO3	YIL129C	chr9	107633	-	108
MET18	YIL128W	chr9	108018	+	76
RRT14	YIL127C	chr9	111956	-	24
STH1	YIL126W	chr9	112220	+	60
KGD1	YIL125W	chr9	116699	+	275
AYR1	YIL124W	chr9	120434	+	50
SIM1	YIL123W	chr9	122376	+	56
POG1	YIL122W	chr9	124629	+	262
QDR2	YIL121W	chr9	126500	+	25
QDR1	YIL120W	chr9	129541	+	-846
RPI1	YIL119C	chr9	132338	-	183
RHO3	YIL118W	chr9	133908	+	118
PRM5	YIL117C	chr9	135909	-	66
HIS5	YIL116W	chr9	137165	+	37
NUP159	YIL115C	chr9	143163	-	180
POR2	YIL114C	chr9	144291	-	29
SDP1	YIL113W	chr9	144801	+	32
HOS4	YIL112W	chr9	145837	+	32
COX5B	YIL111W	chr9	149568	+	-72
HPM1	YIL110W	chr9	150287	+	31
SEC24	YIL109C	chr9	154546	-	108
YIL108W	YIL108W	chr9	155136	+	24
PFK26	YIL107C	chr9	160203	-	182
MOB1	YIL106W	chr9	160605	+	70
SLM1	YIL105C	chr9	164039	-	138
SHQ1	YIL104C	chr9	165795	-	30
DPH1	YIL103W	chr9	165961	+	50
YIL102C-A	YIL102C-A	chr9	167894	-	42
XBP1	YIL101C	chr9	171634	-	124
FMC1	YIL098C	chr9	174527	-	32
FYV10	YIL097W	chr9	174674	+	9
BMT5	YIL096C	chr9	177415	-	31
PRK1	YIL095W	chr9	178027	+	156
LYS12	YIL094C	chr9	181920	-	42
RSM25	YIL093C	chr9	183097	-	83
UTP25	YIL091C	chr9	187461	-	36
ICE2	YIL090W	chr9	187687	+	138
YIL089W	YIL089W	chr9	189795	+	34
AVT7	YIL088C	chr9	193289	-	23
AIM19	YIL087C	chr9	193980	-	-2
KTR7	YIL085C	chr9	195948	-	42
SDS3	YIL084C	chr9	197154	-	32
CAB2	YIL083C	chr9	198549	-	34
AIR1	YIL079C	chr9	200797	-	21
THS1	YIL078W	chr9	201226	+	43
RCI37	YIL077C	chr9	204739	-	17
SEC28	YIL076W	chr9	205414	+	12
RPN2	YIL075C	chr9	209530	-	62
SER33	YIL074C	chr9	211308	-	49
PCI8	YIL071C	chr9	218698	-	30
MAM33	YIL070C	chr9	219808	-	62
RPS24B	YIL069C	chr9	221088	-	45
SEC6	YIL068C	chr9	224207	-	59
YIL067C	YIL067C	chr9	226477	-	43
FIS1	YIL065C	chr9	230479	-	41
EFM4	YIL064W	chr9	230670	+	-64
YRB2	YIL063C	chr9	232455	-	48
ARC15	YIL062C	chr9	233163	-	38
SNP1	YIL061C	chr9	234241	-	19
RGI2	YIL057C	chr9	236811	-	87
VHR1	YIL056W	chr9	238031	+	287
YIL055C	YIL055C	chr9	242303	-	51
GPP1	YIL053W	chr9	243409	+	33
RPL34B	YIL052C	chr9	245423	-	31
MMF1	YIL051C	chr9	246666	-	55
PCL7	YIL050W	chr9	247124	+	120
DFG10	YIL049W	chr9	248475	+	6
NEO1	YIL048W	chr9	249459	+	305
SYG1	YIL047C	chr9	256594	-	444
MET30	YIL046W	chr9	256942	+	31
PIG2	YIL045W	chr9	259389	+	94
AGE2	YIL044C	chr9	262193	-	26
CBR1	YIL043C	chr9	263267	-	20
PKP1	YIL042C	chr9	264640	-	27
GVP36	YIL041W	chr9	264824	+	22
APQ12	YIL040W	chr9	266035	+	9
TED1	YIL039W	chr9	266718	+	29
NOT3	YIL038C	chr9	271211	-	238
CST6	YIL036W	chr9	273819	+	168
CKA1	YIL035C	chr9	277339	-	110
CAP2	YIL034C	chr9	278423	-	13
BCY1	YIL033C	chr9	280098	-	108
ULP2	YIL031W	chr9	280762	+	192
SSM4	YIL030C	chr9	288375	-	45
YIL029C	YIL029C	chr9	289683	-	105
EMC5	YIL027C	chr9	292468	-	43
IRR1	YIL026C	chr9	296277	-	27
YIL024C	YIL024C	chr9	297544	-	52
YKE4	YIL023C	chr9	298762	-	15
TIM44	YIL022W	chr9	299368	+	118
RPB3	YIL021W	chr9	301161	+	65
HIS6	YIL020C	chr9	303162	-	21
FAF1	YIL019W	chr9	303394	+	20
RPL2B	YIL018W	chr9	305066	+	24
VID28	YIL017C	chr9	309364	-	77
SNL1	YIL016W	chr9	309751	+	25
BAR1	YIL015W	chr9	310632	+	32
YIL014C-A	YIL014C-A	chr9	319846	-	79
MNT3	YIL014W	chr9	320170	+	174
PDR11	YIL013C	chr9	326776	-	93
TIR3	YIL011W	chr9	327936	+	32
DOT5	YIL010W	chr9	329086	+	37
EST3	YIL009C-A	chr9	330465	-	12
FAA3	YIL009W	chr9	333558	+	12
URM1	YIL008W	chr9	336716	+	46
NAS2	YIL007C	chr9	337908	-	26
YIA6	YIL006W	chr9	338275	+	13
EPS1	YIL005W	chr9	339785	+	133
CFD1	YIL003W	chr9	343309	+	39
CMI7	YIL002W-A	chr9	344499	+	28
INP51	YIL002C	chr9	347852	-	195
YIL001W	YIL001W	chr9	348107	+	59
SGN1	YIR001C	chr9	351186	-	65
MPH1	YIR002C	chr9	354713	-	91
AIM21	YIR003W	chr9	355081	+	30
DJP1	YIR004W	chr9	357407	+	40
IST3	YIR005W	chr9	359070	+	45
PAN1	YIR006C	chr9	364168	-	34
EGH1	YIR007W	chr9	364896	+	26
PRI1	YIR008C	chr9	368583	-	59
MSL1	YIR009W	chr9	368665	+	78
DSN1	YIR010W	chr9	369581	+	68
STS1	YIR011C	chr9	372480	-	16
SQT1	YIR012W	chr9	372679	+	25
VLD1	YIR014W	chr9	375288	+	16
RPR2	YIR015W	chr9	376142	+	24
YIR016W	YIR016W	chr9	376825	+	21
MET28	YIR017C	chr9	378331	-	-6
YAP5	YIR018W	chr9	378806	+	21
FLO11	YIR019C	chr9	387878	-	13
MRS1	YIR021W	chr9	391448	+	36
SEC11	YIR022W	chr9	392892	+	31
DAL81	YIR023W	chr9	393949	+	18
INA22	YIR024C	chr9	397689	-	8
MND2	YIR025W	chr9	397832	+	17
YVH1	YIR026C	chr9	400177	-	20
DAL1	YIR027C	chr9	401931	-	99
DAL4	YIR028W	chr9	402642	+	16
DAL2	YIR029W	chr9	404953	+	44
DCG1	YIR030C	chr9	407000	-	40
DAL7	YIR031C	chr9	408893	-	24
DAL3	YIR032C	chr9	409818	-	11
MGA2	YIR033W	chr9	410261	+	53
LYS1	YIR034C	chr9	414961	-	35
YIR035C	YIR035C	chr9	416049	-	69
IRC24	YIR036C	chr9	417081	-	26
HYR1	YIR037W	chr9	417257	+	61
GTT1	YIR038C	chr9	418714	-	11
YIR042C	YIR042C	chr9	430167	-	0
IMA5	YJL216C	chr10	14908	-	22
YJL213W	YJL213W	chr10	20612	+	351
OPT1	YJL212C	chr10	25075	-	28
PEX2	YJL210W	chr10	25660	+	52
CBP1	YJL209W	chr10	26706	+	94
NUC1	YJL208C	chr10	30030	-	52
LAA1	YJL207C	chr10	36242	-	16
YJL206C	YJL206C	chr10	38719	-	-8
PRP21	YJL203W	chr10	42099	+	34
ECM25	YJL201W	chr10	43168	+	3
ACO2	YJL200C	chr10	47628	-	23
MBB1	YJL199C	chr10	48936	-	-26
PHO90	YJL198W	chr10	49604	+	22
UBP12	YJL197W	chr10	52545	+	42
ELO1	YJL196C	chr10	57587	-	23
CDC6	YJL194W	chr10	58082	+	38
YJL193W	YJL193W	chr10	60130	+	19
SOP4	YJL192C	chr10	62225	-	28
RPS14B	YJL191W	chr10	62540	+	30
RPS22A	YJL190C	chr10	64102	-	16
RPL39	YJL189W	chr10	64691	+	26
SWE1	YJL187C	chr10	68146	-	93
MNN5	YJL186W	chr10	68916	+	29
ATG36	YJL185C	chr10	71829	-	63
GON7	YJL184W	chr10	72201	+	37
MNN11	YJL183W	chr10	72783	+	75
RBH1	YJL181W	chr10	74426	+	22
ATP12	YJL180C	chr10	77383	-	35
PFD1	YJL179W	chr10	77507	+	68
ATG27	YJL178C	chr10	78901	-	16
RPL17B	YJL177W	chr10	79553	+	21
SWI3	YJL176C	chr10	83377	-	58
KRE9	YJL174W	chr10	83767	+	115
RFA3	YJL173C	chr10	85327	-	8
CPS1	YJL172W	chr10	86500	+	28
TOH1	YJL171C	chr10	89703	-	32
ASG7	YJL170C	chr10	90579	-	20
SET2	YJL168C	chr10	93301	-	93
ERG20	YJL167W	chr10	93736	+	56
HAL5	YJL165C	chr10	98385	-	143
TPK1	YJL164C	chr10	100162	-	218
YJL163C	YJL163C	chr10	102134	-	19
JJJ2	YJL162C	chr10	104435	-	49
FMP33	YJL161W	chr10	105985	+	19
CIS3	YJL158C	chr10	111759	-	42
FAR1	YJL157C	chr10	115141	-	44
SSY5	YJL156C	chr10	117776	-	56
FBP26	YJL155C	chr10	119528	-	118
VPS35	YJL154C	chr10	122758	-	58
INO1	YJL153C	chr10	124697	-	4
SNA3	YJL151C	chr10	125565	-	33
DAS1	YJL149W	chr10	126084	+	45
RPA34	YJL148W	chr10	129130	+	57
MRX5	YJL147C	chr10	131384	-	67
IDS2	YJL146W	chr10	131916	+	126
SFH5	YJL145W	chr10	133875	+	35
ROQ1	YJL144W	chr10	135076	+	33
TIM17	YJL143W	chr10	135821	+	30
YAK1	YJL141C	chr10	139227	-	88
RPB4	YJL140W	chr10	139616	+	94
YUR1	YJL139C	chr10	141831	-	83
TIF2	YJL138C	chr10	143492	-	51
GLG2	YJL137C	chr10	144895	-	18
RPS21B	YJL136C	chr10	146056	-	33
